country_id,energy_indicator_id,year,indicator_value,data_source
1,1,2016,97.7,WDI
1,2,2016,99.5,WDI
1,3,2016,97.1,WDI
1,4,2000,8.8,WDI
1,4,2016,32.4,WDI
1,5,2000,54.2,WDI
1,5,2015,18.4,WDI
1,6,2000,75.0,WDI
1,6,2015,86.1,WDI
3,1,2000,100.0,WDI
3,1,2016,100.0,WDI
3,2,2016,100.0,WDI
3,3,2016,100.0,WDI
3,4,2000,39.8,WDI
3,4,2016,77.4,WDI
3,5,2000,41.4,WDI
3,5,2015,38.6,WDI
3,6,2000,96.1,WDI
3,6,2015,100.0,WDI
4,1,2016,100.0,WDI
4,2,2016,100.0,WDI
4,3,2016,100.0,WDI
4,4,2000,86.5,WDI
4,4,2016,92.6,WDI
4,5,2000,0.4,WDI
4,5,2015,0.1,WDI
4,6,2000,0.2,WDI
4,6,2015,0.3,WDI
5,5,2000,0.0,WDI
5,5,2015,0.9,WDI
5,6,2000,0.0,WDI
5,6,2015,0.9,WDI
6,1,2000,100.0,WDI
6,1,2016,100.0,WDI
6,2,2016,100.0,WDI
6,3,2016,100.0,WDI
6,4,2000,100.0,WDI
6,4,2016,100.0,WDI
6,5,2000,14.9,WDI
6,5,2015,19.7,WDI
6,6,2000,100.0,WDI
6,6,2015,86.1,WDI
7,1,2000,20.0,WDI
7,1,2016,41.9,WDI
7,2,2016,71.2,WDI
7,3,2016,13.6,WDI
7,4,2000,1.2,WDI
7,4,2016,13.2,WDI
7,5,2000,74.5,WDI
7,5,2015,70.5,WDI
7,6,2000,58.5,WDI
7,6,2015,62.8,WDI
10,1,2000,100.0,WDI
10,1,2016,100.0,WDI
10,2,2016,100.0,WDI
10,3,2016,100.0,WDI
10,4,2000,98.9,WDI
10,4,2016,99.9,WDI
10,5,2000,1.1,WDI
10,5,2015,0.9,WDI
10,6,2000,0.0,WDI
10,6,2015,0.1,WDI
11,1,2000,95.5,WDI
11,1,2016,100.0,WDI
11,2,2016,100.0,WDI
11,3,2016,100.0,WDI
11,4,2000,99.8,WDI
11,4,2016,100.0,WDI
11,5,2000,1.9,WDI
11,5,2015,2.4,WDI
11,6,2000,2.2,WDI
11,6,2015,2.3,WDI
12,1,2000,100.0,WDI
12,1,2016,100.0,WDI
12,2,2016,100.0,WDI
12,3,2016,100.0,WDI
12,4,2000,98.2,WDI
12,4,2016,100.0,WDI
12,5,2000,7.7,WDI
12,5,2015,9.3,WDI
12,6,2000,27.0,WDI
12,6,2015,33.1,WDI
13,1,2000,100.0,WDI
13,1,2016,100.0,WDI
13,2,2016,100.0,WDI
13,3,2016,100.0,WDI
13,4,2000,100.0,WDI
13,4,2016,100.0,WDI
13,5,2000,0.4,WDI
13,5,2015,0.4,WDI
13,6,2000,0.0,WDI
13,6,2015,0.4,WDI
14,1,2000,100.0,WDI
14,1,2016,100.0,WDI
14,2,2016,100.0,WDI
14,3,2016,100.0,WDI
14,4,2000,100.0,WDI
14,4,2016,100.0,WDI
14,5,2000,6.0,WDI
14,5,2015,4.5,WDI
14,6,2000,7.9,WDI
14,6,2015,14.3,WDI
15,1,2000,100.0,WDI
15,1,2016,100.0,WDI
15,2,2016,100.0,WDI
15,3,2016,100.0,WDI
15,4,2000,100.0,WDI
15,4,2016,100.0,WDI
15,5,2000,28.2,WDI
15,5,2015,33.5,WDI
15,6,2000,64.3,WDI
15,6,2015,69.5,WDI
16,1,2000,100.0,WDI
16,1,2016,100.0,WDI
16,2,2016,100.0,WDI
16,3,2016,100.0,WDI
16,4,2000,100.0,WDI
16,4,2016,100.0,WDI
16,5,2000,1.3,WDI
16,5,2015,0.9,WDI
16,6,2015,0.3,WDI
17,1,2000,100.0,WDI
17,1,2016,100.0,WDI
17,2,2016,100.0,WDI
17,3,2016,100.0,WDI
17,4,2000,100.0,WDI
17,4,2016,100.0,WDI
17,5,2000,0.2,WDI
17,5,2015,0.4,WDI
17,6,2000,0.0,WDI
17,6,2015,0.1,WDI
18,1,2000,100.0,WDI
18,1,2016,100.0,WDI
18,2,2016,100.0,WDI
18,3,2016,100.0,WDI
18,4,2000,100.0,WDI
18,4,2016,100.0,WDI
18,5,2000,0.0,WDI
18,5,2015,0.0,WDI
18,6,2000,0.0,WDI
18,6,2015,0.0,WDI
19,1,2000,32.0,WDI
19,1,2016,75.9,WDI
19,2,2016,92.4,WDI
19,3,2016,68.4,WDI
19,4,2000,12.7,WDI
19,4,2016,14.0,WDI
19,5,2000,35.3,WDI
19,5,2015,27.9,WDI
19,6,2000,0.3,WDI
19,6,2015,1.9,WDI
20,1,2000,100.0,WDI
20,1,2016,100.0,WDI
20,2,2016,100.0,WDI
20,3,2016,100.0,WDI
20,4,2000,100.0,WDI
20,4,2016,100.0,WDI
20,5,2000,0.6,WDI
20,5,2015,0.5,WDI
20,6,2000,0.0,WDI
20,6,2015,0.0,WDI
21,1,2000,100.0,WDI
21,1,2016,100.0,WDI
21,2,2016,100.0,WDI
21,3,2016,100.0,WDI
21,4,2000,99.6,WDI
21,4,2016,100.0,WDI
21,5,2000,3.6,WDI
21,5,2015,5.8,WDI
21,6,2000,1.3,WDI
21,6,2015,3.8,WDI
22,1,2000,100.0,WDI
22,1,2016,100.0,WDI
22,2,2016,100.0,WDI
22,3,2016,100.0,WDI
22,4,2000,100.0,WDI
22,4,2016,100.0,WDI
22,5,2000,2.1,WDI
22,5,2015,4.5,WDI
22,6,2015,15.1,WDI
23,1,2000,87.6,WDI
23,1,2016,100.0,WDI
23,2,2016,100.0,WDI
23,3,2016,100.0,WDI
23,4,2000,74.7,WDI
23,4,2016,90.4,WDI
23,5,2000,32.2,WDI
23,5,2015,34.8,WDI
23,6,2000,92.0,WDI
23,6,2015,97.8,WDI
24,1,2000,14.0,WDI
24,1,2016,35.4,WDI
24,2,2016,70.1,WDI
24,3,2016,10.6,WDI
24,4,2000,2.1,WDI
24,4,2016,10.9,WDI
24,5,2000,64.8,WDI
24,5,2015,61.7,WDI
24,6,2000,97.0,WDI
24,6,2015,97.9,WDI
25,1,2000,100.0,WDI
25,1,2016,100.0,WDI
25,2,2016,100.0,WDI
25,3,2016,100.0,WDI
25,4,2000,100.0,WDI
25,4,2016,100.0,WDI
25,5,2000,0.1,WDI
25,5,2015,0.1,WDI
25,6,2000,0.0,WDI
25,6,2015,0.0,WDI
26,1,2000,84.0,WDI
26,1,2016,99.9,WDI
26,2,2016,100.0,WDI
26,3,2016,99.9,WDI
26,4,2000,98.3,WDI
26,4,2016,100.0,WDI
26,5,2000,81.4,WDI
26,5,2015,78.9,WDI
26,6,2000,100.0,WDI
26,6,2015,100.0,WDI
27,1,2000,72.0,WDI
27,1,2016,93.4,WDI
27,2,2016,99.5,WDI
27,3,2016,85.2,WDI
27,4,2000,46.7,WDI
27,4,2016,69.2,WDI
27,5,2000,26.7,WDI
27,5,2015,29.9,WDI
27,6,2000,62.8,WDI
27,6,2015,77.4,WDI
29,1,2000,100.0,WDI
29,1,2016,100.0,WDI
29,2,2016,100.0,WDI
29,3,2016,100.0,WDI
29,4,2000,84.4,WDI
29,4,2016,97.7,WDI
29,5,2000,18.0,WDI
29,5,2015,19.0,WDI
29,6,2000,45.4,WDI
29,6,2015,49.2,WDI
30,1,2000,46.6,WDI
30,1,2016,54.6,WDI
30,2,2016,90.4,WDI
30,3,2016,20.5,WDI
30,4,2000,74.8,WDI
30,4,2016,90.0,WDI
30,5,2000,40.1,WDI
30,5,2015,38.6,WDI
30,6,2000,0.0,WDI
30,6,2015,0.0,WDI
32,1,2000,94.9,WDI
32,1,2016,99.7,WDI
32,2,2016,99.9,WDI
32,3,2016,98.6,WDI
32,4,2000,99.1,WDI
32,4,2016,100.0,WDI
32,5,2000,43.2,WDI
32,5,2015,44.2,WDI
32,6,2000,85.8,WDI
32,6,2015,80.7,WDI
243,1,2000,100.0,WDI
243,1,2016,100.0,WDI
243,2,2016,100.0,WDI
243,3,2016,100.0,WDI
243,4,2000,100.0,WDI
243,4,2016,100.0,WDI
243,5,2000,0.2,WDI
243,5,2015,0.2,WDI
243,6,2000,0.0,WDI
243,6,2015,0.0,WDI
34,1,2000,100.0,WDI
34,1,2016,100.0,WDI
34,2,2016,100.0,WDI
34,3,2016,100.0,WDI
34,4,2000,100.0,WDI
34,4,2016,100.0,WDI
34,5,2000,0.1,WDI
34,5,2015,0.0,WDI
34,6,2000,0.0,WDI
34,6,2015,0.0,WDI
35,1,2000,100.0,WDI
35,1,2016,100.0,WDI
35,2,2016,100.0,WDI
35,3,2016,100.0,WDI
35,4,2000,98.6,WDI
35,4,2016,100.0,WDI
35,5,2000,12.5,WDI
35,5,2015,18.8,WDI
35,6,2000,12.7,WDI
35,6,2015,18.6,WDI
36,1,2000,11.5,WDI
36,1,2016,18.0,WDI
36,2,2016,48.2,WDI
36,3,2016,3.3,WDI
36,4,2000,2.4,WDI
36,4,2016,8.5,WDI
36,5,2000,84.6,WDI
36,5,2015,83.9,WDI
36,6,2000,78.0,WDI
36,6,2015,75.0,WDI
37,1,2000,3.0,WDI
37,1,2016,9.4,WDI
37,2,2016,38.5,WDI
37,3,2016,3.3,WDI
37,4,2000,0.2,WDI
37,4,2016,0.7,WDI
37,5,2000,93.3,WDI
37,5,2015,92.5,WDI
37,6,2015,97.7,WDI
38,1,2000,65.0,WDI
38,1,2016,95.5,WDI
38,2,2016,99.9,WDI
38,3,2016,92.2,WDI
38,4,2000,60.8,WDI
38,4,2016,91.2,WDI
38,5,2000,3.3,WDI
38,5,2015,4.6,WDI
38,6,2000,0.1,WDI
38,6,2015,2.5,WDI
39,1,2000,16.0,WDI
39,1,2016,91.8,WDI
39,2,2016,99.4,WDI
39,3,2016,89.1,WDI
39,4,2000,6.5,WDI
39,4,2016,13.4,WDI
39,5,2000,69.4,WDI
39,5,2015,68.4,WDI
39,6,2000,3.7,WDI
39,6,2015,35.7,WDI
40,1,2000,47.5,WDI
40,1,2016,58.0,WDI
40,2,2016,89.2,WDI
40,3,2016,32.7,WDI
40,4,2000,9.3,WDI
40,4,2016,15.2,WDI
40,5,2000,56.7,WDI
40,5,2015,56.5,WDI
40,6,2000,87.4,WDI
40,6,2015,87.7,WDI
41,1,2000,100.0,WDI
41,1,2016,100.0,WDI
41,2,2016,100.0,WDI
41,3,2016,100.0,WDI
41,4,2000,100.0,WDI
41,4,2016,100.0,WDI
41,5,2000,16.5,WDI
41,5,2015,17.4,WDI
41,6,2000,61.9,WDI
41,6,2015,65.8,WDI
42,1,2000,100.0,WDI
42,1,2016,100.0,WDI
42,2,2016,100.0,WDI
42,3,2016,100.0,WDI
42,4,2000,100.0,WDI
42,4,2016,100.0,WDI
42,5,2000,0.1,WDI
42,5,2015,0.1,WDI
42,6,2000,0.0,WDI
42,6,2015,0.0,WDI
43,1,2000,18.5,WDI
