country_id,freshwater_indicator_id,indicator_value,year,source_notes
3,1,4.9,2014,WDI
3,3,39.0,2015,WDI
3,4,18.0,2014,WDI
3,5,43.0,2015,WDI
4,1,69.4,2014,WDI
4,3,59.0,2015,WDI
4,4,5.0,2014,WDI
4,5,36.0,2015,WDI
7,1,0.5,2014,WDI
7,4,34.0,2014,WDI
10,1,8.5,2014,WDI
10,3,16.0,2015,WDI
10,4,22.0,2014,WDI
10,5,63.0,2015,WDI
11,1,12.9,2014,WDI
11,3,74.0,2015,WDI
11,4,11.0,2014,WDI
11,5,15.0,2015,WDI
12,1,42.9,2014,WDI
12,3,90.0,2015,WDI
12,4,4.0,2014,WDI
12,5,6.0,2015,WDI
14,1,3.1,2014,WDI
14,3,61.0,2015,WDI
14,4,16.0,2014,WDI
14,5,23.0,2015,WDI
15,1,6.3,2014,WDI
15,3,2.0,2015,WDI
15,4,77.0,2014,WDI
15,5,21.0,2015,WDI
16,1,147.5,2014,WDI
16,3,84.0,2015,WDI
16,4,19.0,2014,WDI
19,1,34.2,2014,WDI
19,3,88.0,2015,WDI
19,4,2.0,2014,WDI
19,5,10.0,2015,WDI
20,1,87.5,2014,WDI
20,4,8.0,2014,WDI
21,1,4.5,2014,WDI
21,3,32.0,2015,WDI
21,4,32.0,2014,WDI
21,5,36.0,2015,WDI
22,1,50.0,2014,WDI
22,3,1.0,2015,WDI
22,4,88.0,2014,WDI
22,5,12.0,2015,WDI
26,1,0.4,2014,WDI
26,3,94.0,2015,WDI
26,4,1.0,2014,WDI
26,5,5.0,2015,WDI
27,1,0.7,2014,WDI
27,3,92.0,2015,WDI
27,4,2.0,2014,WDI
27,5,7.0,2015,WDI
32,1,1.3,2014,WDI
32,3,60.0,2015,WDI
32,4,17.0,2014,WDI
32,5,23.0,2015,WDI
35,1,27.2,2014,WDI
35,3,15.0,2015,WDI
35,4,69.0,2014,WDI
35,5,16.0,2015,WDI
36,1,6.5,2014,WDI
36,4,3.0,2014,WDI
39,1,1.8,2014,WDI
39,3,94.0,2015,WDI
39,4,2.0,2014,WDI
39,5,4.0,2015,WDI
41,1,1.4,2014,WDI
41,3,12.0,2015,WDI
41,4,80.0,2014,WDI
41,5,14.0,2015,WDI
43,1,0.1,2014,WDI
43,4,17.0,2014,WDI
44,1,5.9,2014,WDI
44,4,12.0,2014,WDI
45,1,4.0,2014,WDI
45,3,83.0,2015,WDI
45,4,13.0,2014,WDI
45,5,4.0,2015,WDI
46,1,21.3,2014,WDI
46,3,64.0,2015,WDI
46,4,22.0,2014,WDI
46,5,13.0,2015,WDI
49,1,0.5,2014,WDI
49,3,54.0,2015,WDI
49,4,19.0,2014,WDI
49,5,27.0,2015,WDI
54,1,2.1,2014,WDI
54,3,57.0,2015,WDI
54,4,11.0,2014,WDI
54,5,32.0,2015,WDI
56,1,1.7,2014,WDI
56,3,1.0,2015,WDI
56,4,20.0,2014,WDI
56,5,80.0,2015,WDI
57,1,18.3,2014,WDI
57,3,65.0,2015,WDI
57,4,11.0,2014,WDI
57,5,24.0,2015,WDI
59,1,28.4,2014,WDI
59,3,66.0,2015,WDI
59,4,2.0,2014,WDI
59,5,33.0,2015,WDI
60,1,12.5,2014,WDI
60,3,3.0,2015,WDI
61,1,10.6,2014,WDI
61,3,25.0,2015,WDI
61,4,20.0,2014,WDI
61,5,55.0,2015,WDI
63,1,10.0,2014,WDI
63,3,5.0,2015,WDI
63,4,0.0,2014,WDI
63,5,95.0,2015,WDI
