country_id,ghg_indicator_id,indicator_value,share_of_total_pct,uncertainty_pct,year,source_notes
3,4,900,\N,\N,2012,WDI 2012
5,1,58,100,\N,2012,WDI 2012
5,2,13,22,\N,2012,WDI 2012
5,3,24,40,\N,2012,WDI 2012
5,4,0,0,\N,2012,WDI 2012
6,3,0,\N,\N,2012,WDI 2012
10,1,552,100,\N,2012,WDI 2012
10,2,43,7,\N,2012,WDI 2012
10,3,26,4,\N,2012,WDI 2012
10,4,111,20,\N,2012,WDI 2012
13,2,23,\N,\N,2012,WDI 2012
13,3,6,\N,\N,2012,WDI 2012
17,2,227,\N,\N,2012,WDI 2012
17,3,131,\N,\N,2012,WDI 2012
17,4,772,\N,\N,2012,WDI 2012
18,3,131,\N,\N,2012,WDI 2012
20,2,109,\N,\N,2012,WDI 2012
20,3,59,\N,\N,2012,WDI 2012
20,4,47,\N,\N,2012,WDI 2012
23,2,228,\N,\N,2012,WDI 2012
23,3,200,\N,\N,2012,WDI 2012
23,4,195,\N,\N,2012,WDI 2012
25,1,632,100,\N,2012,WDI 2012
25,2,31,4,\N,2012,WDI 2012
25,3,21,3,\N,2012,WDI 2012
25,4,39,6,\N,2012,WDI 2012
26,3,555,\N,\N,2012,WDI 2012
26,4,-393,\N,\N,2012,WDI 2012
34,3,342,\N,\N,2012,WDI 2012
37,3,789,\N,\N,2012,WDI 2012
38,2,151,\N,\N,2012,WDI 2012
38,3,81,\N,\N,2012,WDI 2012
42,2,29,\N,\N,2012,WDI 2012
42,3,14,\N,\N,2012,WDI 2012
101,3,476,\N,\N,2012,WDI 2012
132,2,151,\N,\N,2012,WDI 2012
132,3,12,\N,\N,2012,WDI 2012
50,1,564,100,\N,2012,WDI 2012
50,2,284,50,\N,2012,WDI 2012
50,3,59,10,\N,2012,WDI 2012
50,4,120,21,\N,2012,WDI 2012
54,4,849,\N,\N,2012,WDI 2012
55,4,-698,\N,\N,2012,WDI 2012
59,2,642,\N,\N,2012,WDI 2012
59,3,315,\N,\N,2012,WDI 2012
59,4,-784,\N,\N,2012,WDI 2012
62,2,634,\N,\N,2012,WDI 2012
62,3,257,\N,\N,2012,WDI 2012
62,4,534,\N,\N,2012,WDI 2012
63,1,222,100,\N,2012,WDI 2012
63,2,41,18,\N,2012,WDI 2012
63,3,21,9,\N,2012,WDI 2012
63,4,3,1,\N,2012,WDI 2012
68,3,37,\N,\N,2012,WDI 2012
69,4,199,\N,\N,2012,WDI 2012
70,3,951,\N,\N,2012,WDI 2012
70,4,-99,\N,\N,2012,WDI 2012
74,2,39,\N,\N,2012,WDI 2012
74,3,7,\N,\N,2012,WDI 2012
75,2,715,\N,\N,2012,WDI 2012
75,3,344,\N,\N,2012,WDI 2012
75,4,-97,\N,\N,2012,WDI 2012
79,2,99,\N,\N,2012,WDI 2012
79,3,37,\N,\N,2012,WDI 2012
81,3,838,\N,\N,2012,WDI 2012
82,3,500,\N,\N,2012,WDI 2012
83,4,222,\N,\N,2012,WDI 2012
88,2,29,\N,\N,2012,WDI 2012
88,3,231,\N,\N,2012,WDI 2012
89,1,726,100,\N,2012,WDI 2012
89,2,37,5,\N,2012,WDI 2012
89,3,26,3,\N,2012,WDI 2012
89,4,193,26,\N,2012,WDI 2012
91,1,85,100,\N,2012,WDI 2012
91,2,71,82,\N,2012,WDI 2012
91,3,2,2,\N,2012,WDI 2012
91,4,0,0,\N,2012,WDI 2012
94,3,990,\N,\N,2012,WDI 2012
96,4,-832,\N,\N,2012,WDI 2012
97,4,482,\N,\N,2012,WDI 2012
103,2,359,\N,\N,2012,WDI 2012
103,3,369,\N,\N,2012,WDI 2012
112,3,656,\N,\N,2012,WDI 2012
115,3,605,\N,\N,2012,WDI 2012
118,2,16,\N,\N,2012,WDI 2012
118,3,4,\N,\N,2012,WDI 2012
121,3,704,\N,\N,2012,WDI 2012
125,3,462,\N,\N,2012,WDI 2012
126,3,428,\N,\N,2012,WDI 2012
127,3,337,\N,\N,2012,WDI 2012
127,4,184,\N,\N,2012,WDI 2012
131,3,473,\N,\N,2012,WDI 2012
131,4,332,\N,\N,2012,WDI 2012
165,3,526,\N,\N,2012,WDI 2012
136,2,52,\N,\N,2012,WDI 2012
136,3,27,\N,\N,2012,WDI 2012
138,2,141,\N,\N,2012,WDI 2012
138,3,61,\N,\N,2012,WDI 2012
139,2,8,\N,\N,2012,WDI 2012
139,3,0,\N,\N,2012,WDI 2012
142,2,311,\N,\N,2012,WDI 2012
142,3,170,\N,\N,2012,WDI 2012
146,3,686,\N,\N,2012,WDI 2012
149,2,0,\N,\N,2012,WDI 2012
149,3,0,\N,\N,2012,WDI 2012
158,2,215,\N,\N,2012,WDI 2012
158,3,98,\N,\N,2012,WDI 2012
161,4,402,\N,\N,2012,WDI 2012
166,1,12,100,\N,2012,WDI 2012
166,2,12,96,\N,2012,WDI 2012
166,3,0,0,\N,2012,WDI 2012
170,2,1,\N,\N,2012,WDI 2012
170,3,0,\N,\N,2012,WDI 2012
173,4,806,\N,\N,2012,WDI 2012
175,4,-883,\N,\N,2012,WDI 2012
180,3,220,\N,\N,2012,WDI 2012
180,4,-4,\N,\N,2012,WDI 2012
181,3,339,\N,\N,2012,WDI 2012
185,4,769,\N,\N,2012,WDI 2012
193,1,356,100,\N,2012,WDI 2012
193,2,133,37,\N,2012,WDI 2012
193,3,40,11,\N,2012,WDI 2012
193,4,55,15,\N,2012,WDI 2012
195,1,195,100,\N,2012,WDI 2012
195,2,46,23,\N,2012,WDI 2012
195,3,10,5,\N,2012,WDI 2012
195,4,87,44,\N,2012,WDI 2012
199,1,910,100,\N,2012,WDI 2012
199,2,24,2,\N,2012,WDI 2012
199,3,23,2,\N,2012,WDI 2012
199,4,382,41,\N,2012,WDI 2012
205,4,229,\N,\N,2012,WDI 2012
206,4,-392,\N,\N,2012,WDI 2012
211,4,988,\N,\N,2012,WDI 2012
213,2,709,\N,\N,2012,WDI 2012
213,3,273,\N,\N,2012,WDI 2012
213,4,-476,\N,\N,2012,WDI 2012
71,3,569,\N,\N,2012,WDI 2012
71,4,922,\N,\N,2012,WDI 2012
222,1,959,100,\N,2012,WDI 2012
222,2,732,76,\N,2012,WDI 2012
222,3,226,23,\N,2012,WDI 2012
222,4,-556,-57,\N,2012,WDI 2012
