country_id,health_indicator_id,indicator_value,year,source_notes
1,1,10.2,2016,WDI 2016
3,1,6.7,2016,WDI 2016
4,1,6.6,2016,WDI 2016
5,1,\N,2016,WDI 2016
6,1,10.4,2016,WDI 2016
7,1,2.9,2016,WDI 2016
10,1,4.3,2016,WDI 2016
11,1,7.5,2016,WDI 2016
12,1,9.9,2016,WDI 2016
13,1,\N,2016,WDI 2016
14,1,9.3,2016,WDI 2016
15,1,10.4,2016,WDI 2016
16,1,6.9,2016,WDI 2016
18,1,4.9,2016,WDI 2016
19,1,2.4,2016,WDI 2016
20,1,7.0,2016,WDI 2016
21,1,6.3,2016,WDI 2016
22,1,10.0,2016,WDI 2016
23,1,6.1,2016,WDI 2016
24,1,3.9,2016,WDI 2016
25,1,\N,2016,WDI 2016
26,1,3.5,2016,WDI 2016
27,1,6.9,2016,WDI 2016
30,1,5.5,2016,WDI 2016
32,1,11.8,2016,WDI 2016
34,1,2.3,2016,WDI 2016
35,1,8.2,2016,WDI 2016
36,1,6.8,2016,WDI 2016
37,1,6.2,2016,WDI 2016
38,1,5.2,2016,WDI 2016
39,1,6.1,2016,WDI 2016
40,1,4.7,2016,WDI 2016
41,1,10.5,2016,WDI 2016
42,1,\N,2016,WDI 2016
43,1,4.3,2016,WDI 2016
44,1,4.5,2016,WDI 2016
45,1,8.5,2016,WDI 2016
46,1,5.0,2016,WDI 2016
49,1,5.9,2016,WDI 2016
50,1,7.6,2016,WDI 2016
54,1,7.6,2016,WDI 2016
56,1,7.2,2016,WDI 2016
57,1,12.2,2016,WDI 2016
59,1,6.9,2016,WDI 2016
60,1,7.1,2016,WDI 2016
61,1,10.4,2016,WDI 2016
62,1,3.5,2016,WDI 2016
63,1,5.3,2016,WDI 2016
64,1,6.2,2016,WDI 2016
65,1,8.4,2016,WDI 2016
67,1,7.0,2016,WDI 2016
68,1,3.4,2016,WDI 2016
69,1,3.0,2016,WDI 2016
70,1,6.7,2016,WDI 2016
71,1,7.7,2016,WDI 2016
72,1,4.0,2016,WDI 2016
74,1,\N,2016,WDI 2016
75,1,3.5,2016,WDI 2016
76,1,9.5,2016,WDI 2016
77,1,11.5,2016,WDI 2016
79,1,\N,2016,WDI 2016
81,1,3.1,2016,WDI 2016
83,1,8.4,2016,WDI 2016
84,1,11.1,2016,WDI 2016
85,1,4.4,2016,WDI 2016
87,1,8.5,2016,WDI 2016
88,1,\N,2016,WDI 2016
89,1,5.2,2016,WDI 2016
91,1,\N,2016,WDI 2016
92,1,5.8,2016,WDI 2016
94,1,5.5,2016,WDI 2016
96,1,4.2,2016,WDI 2016
97,1,5.4,2016,WDI 2016
100,1,8.4,2016,WDI 2016
102,1,7.4,2016,WDI 2016
103,1,8.3,2016,WDI 2016
104,1,3.7,2016,WDI 2016
105,1,3.1,2016,WDI 2016
107,1,3.3,2016,WDI 2016
108,1,7.4,2016,WDI 2016
109,1,\N,2016,WDI 2016
110,1,7.3,2016,WDI 2016
111,1,8.9,2016,WDI 2016
112,1,6.1,2016,WDI 2016
113,1,10.9,2016,WDI 2016
115,1,5.5,2016,WDI 2016
116,1,3.5,2016,WDI 2016
117,1,4.5,2016,WDI 2016
118,1,11.9,2016,WDI 2016
121,1,3.9,2016,WDI 2016
124,1,6.2,2016,WDI 2016
125,1,8.0,2016,WDI 2016
126,1,8.1,2016,WDI 2016
127,1,9.6,2016,WDI 2016
128,1,\N,2016,WDI 2016
129,1,\N,2016,WDI 2016
130,1,6.7,2016,WDI 2016
131,1,6.2,2016,WDI 2016
133,1,6.0,2016,WDI 2016
134,1,9.8,2016,WDI 2016
135,1,3.8,2016,WDI 2016
136,1,10.6,2016,WDI 2016
137,1,3.8,2016,WDI 2016
138,1,9.3,2016,WDI 2016
139,1,23.3,2016,WDI 2016
141,1,4.2,2016,WDI 2016
142,1,5.7,2016,WDI 2016
144,1,5.5,2016,WDI 2016
146,1,9.0,2016,WDI 2016
147,1,1.7,2016,WDI 2016
148,1,3.8,2016,WDI 2016
149,1,7.6,2016,WDI 2016
151,1,5.8,2016,WDI 2016
152,1,5.1,2016,WDI 2016
153,1,5.1,2016,WDI 2016
154,1,9.1,2016,WDI 2016
156,1,6.3,2016,WDI 2016
157,1,10.4,2016,WDI 2016
158,1,\N,2016,WDI 2016
159,1,9.2,2016,WDI 2016
160,1,8.7,2016,WDI 2016
161,1,6.2,2016,WDI 2016
162,1,3.6,2016,WDI 2016
166,1,\N,2016,WDI 2016
167,1,10.5,2016,WDI 2016
168,1,4.3,2016,WDI 2016
169,1,2.8,2016,WDI 2016
