country_id,sus_indicator_id,year,indicator_value,source_note
1,3,2017,97.7,WDI Data
1,4,2015,18.4,WDI Data
1,6,2014,62.7,WDI Data
1,7,2016,56.3,WDI Data
1,8,2017,2.7,WDI Data
1,9,2014,0.3,WDI Data
1,10,2018,0.1,WDI Data
1,11,2015,10.0,WDI Data
1,12,2017,13.5,WDI Data
3,1,2017,70.0,WDI Data
3,2,2017,39.9,WDI Data
3,3,2017,100.0,WDI Data
3,4,2015,38.6,WDI Data
3,7,2016,18.2,WDI Data
3,8,2017,8.2,WDI Data
3,9,2014,2.0,WDI Data
3,10,2018,13.5,WDI Data
3,11,2015,2.8,WDI Data
3,12,2017,71.8,WDI Data
4,2,2017,17.7,WDI Data
4,3,2017,100.0,WDI Data
4,4,2015,0.1,WDI Data
4,5,2015,0.5,WDI Data
4,7,2016,39.9,WDI Data
4,8,2017,21.2,WDI Data
4,9,2014,3.7,WDI Data
4,10,2018,7.1,WDI Data
4,11,2015,1.4,WDI Data
4,12,2017,47.7,WDI Data
5,1,2017,12.6,WDI Data
5,4,2015,0.9,WDI Data
5,7,2016,12.4,WDI Data
5,10,2018,8.7,WDI Data
5,11,2015,7.2,WDI Data
6,1,2017,90.6,WDI Data
6,2,2017,100.0,WDI Data
6,3,2017,100.0,WDI Data
6,4,2015,19.7,WDI Data
6,7,2016,10.3,WDI Data
6,9,2014,5.8,WDI Data
6,10,2018,26.7,WDI Data
6,11,2015,0.0,WDI Data
6,12,2017,91.6,WDI Data
7,3,2017,41.9,WDI Data
7,4,2015,49.6,WDI Data
7,5,2015,0.0,WDI Data
7,6,2014,55.5,WDI Data
7,7,2016,31.8,WDI Data
7,8,2017,-16.3,WDI Data
7,9,2014,1.3,WDI Data
7,10,2018,5.0,WDI Data
7,11,2015,4.8,WDI Data
7,12,2017,14.3,WDI Data
10,3,2017,100.0,WDI Data
10,4,2015,0.0,WDI Data
10,7,2016,18.5,WDI Data
10,9,2014,5.7,WDI Data
10,10,2018,0.3,WDI Data
10,11,2015,10.3,WDI Data
10,12,2017,76.0,WDI Data
11,3,2017,100.0,WDI Data
11,4,2015,10.0,WDI Data
11,5,2015,0.6,WDI Data
11,6,2014,16.7,WDI Data
11,7,2016,13.8,WDI Data
11,8,2017,5.4,WDI Data
11,9,2014,4.8,WDI Data
11,10,2018,7.4,WDI Data
11,11,2015,6.5,WDI Data
11,12,2017,74.3,WDI Data
12,1,2017,86.5,WDI Data
12,2,2017,48.2,WDI Data
12,3,2017,100.0,WDI Data
12,4,2015,15.8,WDI Data
12,5,2015,0.3,WDI Data
12,6,2014,14.4,WDI Data
12,7,2016,32.2,WDI Data
12,8,2017,1.5,WDI Data
12,9,2014,1.9,WDI Data
12,10,2018,23.1,WDI Data
12,11,2015,2.6,WDI Data
12,12,2017,64.7,WDI Data
13,3,2017,100.0,WDI Data
13,4,2015,6.7,WDI Data
13,9,2014,8.4,WDI Data
13,10,2018,0.1,WDI Data
13,11,2015,1.9,WDI Data
